idcan,csen,lista,partido,cpartido,n_cartilla,genero,nombre,esind,idservel
2823-5001-E-18,5001,E,UDI,UDI,18,H,RAUL  GIL GONZALEZ,0,2823
2823-5001-E-19,5001,E,IND-RN,RN,19,M,JOSEFINA LETELIER LARRAIN,1,2823
2823-5001-E-20,5001,E,RN,RN,20,H,JUAN MANUEL CARRASCO BARRA,0,2823
2825-5001-A-1,5001,A,PDG,PDG,1,M,NORA DEL CARMEN BUGUEÑO AGUILERA,0,2825
2825-5001-A-2,5001,A,PDG,PDG,2,H,SERGIO HUMBERTO RIOS GAMBOA,0,2825
2825-5001-A-3,5001,A,PDG,PDG,3,M,KARLA ANGELICA AÑES GAJARDO,0,2825
2825-5001-A-4,5001,A,PDG,PDG,4,H,ERNESTO RODRIGO PLASENCIA ROJAS,0,2825
2825-5001-B-5,5001,B,IND-PPD,PPD,5,M,MACARENA RIVEROS OYARZO,1,2825
2825-5001-B-6,5001,B,IND-PPD,PPD,6,H,SALVADOR URRUTIA CARDENAS,1,2825
2825-5001-B-7,5001,B,IND-PDC,PDC,7,M,GLORIA LILLO REBOLLEDO,1,2825
2825-5001-B-8,5001,B,PDC,PDC,8,H,RAUL RAMON CASTRO LETELIER,0,2825
2825-5001-C-9,5001,C,REPUBLICANO,REPUBLICANO,9,M,FRANCISCA MARINA CAVIERES DIAZ,0,2825
2825-5001-C-10,5001,C,REPUBLICANO,REPUBLICANO,10,H,DIEGO ALBERTO VARGAS CASTILLO,0,2825
2825-5001-C-11,5001,C,REPUBLICANO,REPUBLICANO,11,M,JACQUELINE CAROLINA BOERO CARVAJAL,0,2825
2825-5001-C-12,5001,C,REPUBLICANO,REPUBLICANO,12,H,CARLOS MIGUEL ALVARADO AGUIRRE,0,2825
2825-5001-D-13,5001,D,IND-PL,PL,13,M,MIRIAM ARENAS SANDOVAL,1,2825
2825-5001-D-14,5001,D,IND-PL,PL,14,H,RODRIGO LEONARDO MUÑOZ PONCE,1,2825
2825-5001-D-15,5001,D,IND-PS,PS,15,M,JOCELYN  ORMEÑO LEE,1,2825
2825-5001-D-16,5001,D,IND-AH,AH,16,H,DANIEL ALEXANDRO BUNSTER RUIZ,1,2825
2825-5001-E-17,5001,E,IND-UDI,UDI,17,M,BRUNELLA  VINET MATTASOGLIO,1,2825
2825-5001-E-18,5001,E,UDI,UDI,18,H,RAUL  GIL GONZALEZ,0,2825
2825-5001-E-19,5001,E,IND-RN,RN,19,M,JOSEFINA LETELIER LARRAIN,1,2825
2825-5001-E-20,5001,E,RN,RN,20,H,JUAN MANUEL CARRASCO BARRA,0,2825
2824-5001-A-1,5001,A,PDG,PDG,1,M,NORA DEL CARMEN BUGUEÑO AGUILERA,0,2824
2824-5001-A-2,5001,A,PDG,PDG,2,H,SERGIO HUMBERTO RIOS GAMBOA,0,2824
2824-5001-A-3,5001,A,PDG,PDG,3,M,KARLA ANGELICA AÑES GAJARDO,0,2824
2824-5001-A-4,5001,A,PDG,PDG,4,H,ERNESTO RODRIGO PLASENCIA ROJAS,0,2824
2824-5001-B-5,5001,B,IND-PPD,PPD,5,M,MACARENA RIVEROS OYARZO,1,2824
2824-5001-B-6,5001,B,IND-PPD,PPD,6,H,SALVADOR URRUTIA CARDENAS,1,2824
2824-5001-B-7,5001,B,IND-PDC,PDC,7,M,GLORIA LILLO REBOLLEDO,1,2824
2824-5001-B-8,5001,B,PDC,PDC,8,H,RAUL RAMON CASTRO LETELIER,0,2824
2824-5001-C-9,5001,C,REPUBLICANO,REPUBLICANO,9,M,FRANCISCA MARINA CAVIERES DIAZ,0,2824
2824-5001-C-10,5001,C,REPUBLICANO,REPUBLICANO,10,H,DIEGO ALBERTO VARGAS CASTILLO,0,2824
2824-5001-C-11,5001,C,REPUBLICANO,REPUBLICANO,11,M,JACQUELINE CAROLINA BOERO CARVAJAL,0,2824
2824-5001-C-12,5001,C,REPUBLICANO,REPUBLICANO,12,H,CARLOS MIGUEL ALVARADO AGUIRRE,0,2824
2824-5001-D-13,5001,D,IND-PL,PL,13,M,MIRIAM ARENAS SANDOVAL,1,2824
2824-5001-D-14,5001,D,IND-PL,PL,14,H,RODRIGO LEONARDO MUÑOZ PONCE,1,2824
2824-5001-D-15,5001,D,IND-PS,PS,15,M,JOCELYN  ORMEÑO LEE,1,2824
2824-5001-D-16,5001,D,IND-AH,AH,16,H,DANIEL ALEXANDRO BUNSTER RUIZ,1,2824
2824-5001-E-17,5001,E,IND-UDI,UDI,17,M,BRUNELLA  VINET MATTASOGLIO,1,2824
2824-5001-E-18,5001,E,UDI,UDI,18,H,RAUL  GIL GONZALEZ,0,2824
2824-5001-E-19,5001,E,IND-RN,RN,19,M,JOSEFINA LETELIER LARRAIN,1,2824
2824-5001-E-20,5001,E,RN,RN,20,H,JUAN MANUEL CARRASCO BARRA,0,2824
2502-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2502
2502-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2502
2502-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2502
2502-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2502
2502-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2502
2502-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2502
2502-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2502
2502-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2502
2502-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2502
2502-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2502
2502-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2502
2502-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2502
2502-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2502
2502-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2502
2502-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2502
2502-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2502
2502-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2502
2502-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2502
2502-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2502
2502-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2502
2504-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2504
2504-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2504
2504-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2504
2504-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2504
2504-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2504
2504-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2504
2504-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2504
2504-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2504
2504-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2504
2504-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2504
2504-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2504
2504-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2504
2504-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2504
2504-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2504
2504-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2504
2504-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2504
2504-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2504
2504-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2504
2504-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2504
2504-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2504
2505-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2505
2505-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2505
2505-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2505
2505-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2505
2505-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2505
2505-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2505
2505-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2505
2505-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2505
2505-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2505
2505-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2505
2505-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2505
2505-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2505
2505-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2505
2505-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2505
2505-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2505
2505-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2505
2505-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2505
2505-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2505
2505-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2505
2505-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2505
2506-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2506
2506-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2506
2506-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2506
2506-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2506
2506-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2506
2506-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2506
2506-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2506
2506-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2506
2506-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2506
2506-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2506
2506-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2506
2506-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2506
2506-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2506
2506-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2506
2506-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2506
2506-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2506
2506-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2506
2506-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2506
2506-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2506
2506-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2506
2501-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2501
2501-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2501
2501-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2501
2501-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2501
2501-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2501
2501-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2501
2501-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2501
2501-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2501
2501-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2501
2501-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2501
2501-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2501
2501-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2501
2501-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2501
2501-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2501
2501-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2501
2501-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2501
2501-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2501
2501-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2501
2501-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2501
2501-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2501
2507-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2507
2507-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2507
2507-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2507
2507-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2507
2507-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2507
2507-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2507
2507-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2507
2507-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2507
2507-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2507
2507-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2507
2507-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2507
2507-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2507
2507-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2507
2507-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2507
2507-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2507
2507-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2507
2507-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2507
2507-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2507
2507-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2507
2507-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2507
2503-5002-A-1,5002,A,PDG,PDG,1,M,CLAUDIA EVELYN VILLEGAS CARVAJAL,0,2503
2503-5002-A-2,5002,A,PDG,PDG,2,H,LUIS DIXON VERGARA PIZARRO,0,2503
2503-5002-A-3,5002,A,PDG,PDG,3,M,FRANCISCA ESTER VARGAS PALLERO,0,2503
2503-5002-A-4,5002,A,PDG,PDG,4,H,CARLOS ALBERTO MELLA LATORRE,0,2503
2503-5002-B-5,5002,B,PPD,PPD,5,M,MARCELA ORTEGA SAEZ,0,2503
2503-5002-B-6,5002,B,PPD,PPD,6,H,SERGIO BITAR CHACRA,0,2503
2503-5002-B-7,5002,B,PDC,PDC,7,M,NORMA CRISTINA CORDOVA CORREA,0,2503
2503-5002-B-8,5002,B,PR,PR,8,H,PEDRO ANDRES VASQUEZ NEIRA,0,2503
2503-5002-C-9,5002,C,REPUBLICANO,REPUBLICANO,9,M,NINOSKA ESTHER PAYAUNA VILCA,0,2503
2503-5002-C-10,5002,C,REPUBLICANO,REPUBLICANO,10,H,SEBASTIAN ESTEBAN PARRAGUEZ GONZALEZ,0,2503
2503-5002-C-11,5002,C,REPUBLICANO,REPUBLICANO,11,M,ANDREA ELIZABETH DUEÑAS CHAVEZ,0,2503
2503-5002-C-12,5002,C,REPUBLICANO,REPUBLICANO,12,H,LEONARDO ANDRES RAMOS IRIARTE,0,2503
2503-5002-D-13,5002,D,COMUNES,COMUNES,13,M,ROMINA CAROLINA RAMOS RODRIGUEZ,0,2503
2503-5002-D-14,5002,D,PCCH,PCCH,14,H,ROBERTO FLAVIO CORTEZ ROJAS,0,2503
2503-5002-D-15,5002,D,AH,AH,15,M,ROSA MARIA OJEDA MENARES,0,2503
2503-5002-D-16,5002,D,PS,PS,16,H,KURT HENER PEREZ,0,2503
2503-5002-E-17,5002,E,UDI,UDI,17,M,PILAR BARRIENTOS HERNANDEZ,0,2503
2503-5002-E-18,5002,E,UDI,UDI,18,H,MAURICIO SCHMIDT SILVA,0,2503
2503-5002-E-19,5002,E,RN,RN,19,M,ROMINA  TERRAZAS BARRAZA,0,2503
2503-5002-E-20,5002,E,RN,RN,20,H,NESTOR JOFRE NUÑEZ,0,2503
2508-5003-A-1,5003,A,PDG,PDG,1,M,SINDY TESSA GONZALEZ SALINI,0,2508
2508-5003-A-2,5003,A,PDG,PDG,2,H,JUAN ENRIQUE MORAGA MENA,0,2508
2508-5003-A-3,5003,A,PDG,PDG,3,M,TAMMY SOLEDAD VERDUGO REYES,0,2508
2508-5003-A-4,5003,A,PDG,PDG,4,H,JORGE ANDRES ALVAREZ TAPIA,0,2508
2508-5003-B-5,5003,B,IND-PPD,PPD,5,M,MARIA CANGANA LOYOLA,1,2508
2508-5003-B-6,5003,B,IND-PPD,PPD,6,H,FREDDY VIÑALES VIÑALES,1,2508
2508-5003-B-7,5003,B,PR,PR,7,M,DORIS NERTA NAVARRO FIGUEROA,0,2508
2508-5003-B-8,5003,B,PR,PR,8,H,MARCELO ENCINA MUÑOZ,0,2508
2508-5003-C-9,5003,C,REPUBLICANO,REPUBLICANO,9,M,CARMEN  MONTOYA MAYORGA,0,2508
2508-5003-C-10,5003,C,REPUBLICANO,REPUBLICANO,10,H,CARLOS SOLAR BARRIOS,0,2508
2508-5003-C-11,5003,C,REPUBLICANO,REPUBLICANO,11,M,SIOMARA VANESSA MOLINA FLORES,0,2508
2508-5003-C-12,5003,C,REPUBLICANO,REPUBLICANO,12,H,PATRICIO MALDONADO LAVADO,0,2508
2508-5003-D-13,5003,D,FREVS,FREVS,13,M,JOHANA CRISTINA RIVERA TEJERINA,0,2508
2508-5003-D-14,5003,D,IND-RD,RD,14,H,JOSE ANTONIO GONZALEZ PIZARRO,1,2508
2508-5003-D-15,5003,D,RD,RD,15,M,LILIANA IVANIA GONZALEZ CORTES,0,2508
2508-5003-D-16,5003,D,PCCH,PCCH,16,H,JOSE CRISTIAN MARDONES GALLARDO,0,2508
2508-5003-E-17,5003,E,RN,RN,17,M,DANIELA CASTRO ARAYA,0,2508
2508-5003-E-18,5003,E,IND-RN,RN,18,H,PABLO POMAREDA ECHEVERRIA,1,2508
2508-5003-E-19,5003,E,UDI,UDI,19,M,KATHERINE LOPEZ RIVERA,0,2508
2508-5003-E-20,5003,E,UDI,UDI,20,H,NALTO  ESPINOZA HURTADO,0,2508
2512-5003-A-1,5003,A,PDG,PDG,1,M,SINDY TESSA GONZALEZ SALINI,0,2512
2512-5003-A-2,5003,A,PDG,PDG,2,H,JUAN ENRIQUE MORAGA MENA,0,2512
2512-5003-A-3,5003,A,PDG,PDG,3,M,TAMMY SOLEDAD VERDUGO REYES,0,2512
2512-5003-A-4,5003,A,PDG,PDG,4,H,JORGE ANDRES ALVAREZ TAPIA,0,2512
2512-5003-B-5,5003,B,IND-PPD,PPD,5,M,MARIA CANGANA LOYOLA,1,2512
2512-5003-B-6,5003,B,IND-PPD,PPD,6,H,FREDDY VIÑALES VIÑALES,1,2512
2512-5003-B-7,5003,B,PR,PR,7,M,DORIS NERTA NAVARRO FIGUEROA,0,2512
2512-5003-B-8,5003,B,PR,PR,8,H,MARCELO ENCINA MUÑOZ,0,2512
2512-5003-C-9,5003,C,REPUBLICANO,REPUBLICANO,9,M,CARMEN  MONTOYA MAYORGA,0,2512
2512-5003-C-10,5003,C,REPUBLICANO,REPUBLICANO,10,H,CARLOS SOLAR BARRIOS,0,2512
2512-5003-C-11,5003,C,REPUBLICANO,REPUBLICANO,11,M,SIOMARA VANESSA MOLINA FLORES,0,2512
