circelec,nce,idservel,local,kei
7363,ALTO BIOBIO,1013,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO,ESCUELA DE CONCENTRACION FRONTERIZA RALCO ALTO BIOBIO0p0ALTO BIOBIO
7042,ALTO DEL CARMEN,165,ESCUELA RICARDO CAMPILLAY CONTRERAS,ESCUELA RICARDO CAMPILLAY CONTRERAS0p0ALTO DEL CARMEN
7589,ALTO HOSPICIO,39,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA,ANEXO DE COLEGIO SAN ANTONIO DE MATILLA0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,40,COLEGIO CATOLICO NAZARET,COLEGIO CATOLICO NAZARET0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,37,COLEGIO MARISTA HERMANO FERNANDO,COLEGIO MARISTA HERMANO FERNANDO0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,42,COLEGIO NIRVANA,COLEGIO NIRVANA0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,41,COLEGIO SAGRADO CORAZON DE JESUS,COLEGIO SAGRADO CORAZON DE JESUS0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,43,COLEGIO SALESIANO SANTO DOMINGO SAVIO,COLEGIO SALESIANO SANTO DOMINGO SAVIO0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,35,COLEGIO SAN ANTONIO DE MATILLA,COLEGIO SAN ANTONIO DE MATILLA0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,38,COLEGIO SIMON BOLIVAR,COLEGIO SIMON BOLIVAR0p0ALTO HOSPICIO
7589,ALTO HOSPICIO,36,LICEO LOS CONDORES,LICEO LOS CONDORES0p0ALTO HOSPICIO
7764,ALTO JAHUEL,2568,LICEO ALTO JAHUEL LOCAL: 1,LICEO ALTO JAHUEL LOCAL: 10p0ALTO JAHUEL
7764,ALTO JAHUEL,2569,LICEO ALTO JAHUEL LOCAL: 2,LICEO ALTO JAHUEL LOCAL: 20p0ALTO JAHUEL
7467,ANCUD,1372,COLEGIO EL PILAR EDUCACION BASICA,COLEGIO EL PILAR EDUCACION BASICA0p0ANCUD
7467,ANCUD,1373,ESCUELA ANEXA,ESCUELA ANEXA0p0ANCUD
7467,ANCUD,1374,GIMNASIO EXTERIOR LICEO DOMINGO ESPIÑEIRA RIESCO,GIMNASIO EXTERIOR LICEO DOMINGO ESPIÑEIRA RIESCO0p0ANCUD
7467,ANCUD,1375,GIMNASIO FISCAL DE ANCUD,GIMNASIO FISCAL DE ANCUD0p0ANCUD
7467,ANCUD,1376,LICEO AGRICOLA,LICEO AGRICOLA0p0ANCUD
7467,ANCUD,1377,LICEO DOMINGO ESPIÑEIRA RIESCO Y GIMNASIO,LICEO DOMINGO ESPIÑEIRA RIESCO Y GIMNASIO0p0ANCUD
7050,ANDACOLLO,205,ESCUELA LUIS CRUZ MARTINEZ,ESCUELA LUIS CRUZ MARTINEZ0p0ANDACOLLO
7050,ANDACOLLO,204,LICEO PEDRO REGALADO VIDELA ORDENES,LICEO PEDRO REGALADO VIDELA ORDENES0p0ANDACOLLO
7335,ANDALIEN,856,COLEGIO CAMILO HENRIQUEZ,COLEGIO CAMILO HENRIQUEZ0p0ANDALIEN
7335,ANDALIEN,857,COLEGIO MARINA DE CHILE,COLEGIO MARINA DE CHILE0p0ANDALIEN
7335,ANDALIEN,858,COLEGIO SANTA EUFRASIA,COLEGIO SANTA EUFRASIA0p0ANDALIEN
7335,ANDALIEN,859,COLEGIO SANTA LUISA DE CONCEPCION,COLEGIO SANTA LUISA DE CONCEPCION0p0ANDALIEN
7335,ANDALIEN,860,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,COLEGIO TECNICO PROFESIONAL LOS ACACIOS0p0ANDALIEN
7335,ANDALIEN,861,ESCUELA DIEGO PORTALES PALAZUELOS,ESCUELA DIEGO PORTALES PALAZUELOS0p0ANDALIEN
7335,ANDALIEN,862,ESCUELA ESTHER HUNNEUS DE CLARO,ESCUELA ESTHER HUNNEUS DE CLARO0p0ANDALIEN
7335,ANDALIEN,863,LICEO DE ADULTOS JOSE MANUEL BALMACEDA FERNANDEZ,LICEO DE ADULTOS JOSE MANUEL BALMACEDA FERNANDEZ0p0ANDALIEN
7335,ANDALIEN,864,LICEO LORENZO ARENAS OLIVO,LICEO LORENZO ARENAS OLIVO0p0ANDALIEN
7335,ANDALIEN,865,LICEO REBECA MATTE BELLO,LICEO REBECA MATTE BELLO0p0ANDALIEN
7335,ANDALIEN,866,LICEO TECNICO PROFESIONAL JORGE SANCHEZ UGARTE,LICEO TECNICO PROFESIONAL JORGE SANCHEZ UGARTE0p0ANDALIEN
7382,ANGOL,1102,COLEGIO BASICO ARAGON,COLEGIO BASICO ARAGON0p0ANGOL
7382,ANGOL,1103,ESCUELA BASICA NAHUELBUTA,ESCUELA BASICA NAHUELBUTA0p0ANGOL
7382,ANGOL,1104,ESCUELA DIEGO DUBLE URRUTIA,ESCUELA DIEGO DUBLE URRUTIA0p0ANGOL
7382,ANGOL,1105,ESCUELA HERMANOS CARRERA,ESCUELA HERMANOS CARRERA0p0ANGOL
7382,ANGOL,1106,ESCUELA JOSE ELIAS BOLIVAR HERRERA,ESCUELA JOSE ELIAS BOLIVAR HERRERA0p0ANGOL
7382,ANGOL,1108,LICEO BICENTENARIO ENRIQUE BALLACEY COTTEREAU,LICEO BICENTENARIO ENRIQUE BALLACEY COTTEREAU0p0ANGOL
7382,ANGOL,1109,LICEO BICENTENARIO POLITECNICO JUANITA FERNANDEZ SOLAR,LICEO BICENTENARIO POLITECNICO JUANITA FERNANDEZ SOLAR0p0ANGOL
7382,ANGOL,1107,LICEO COMERCIAL ARMANDO BRAVO BRAVO,LICEO COMERCIAL ARMANDO BRAVO BRAVO0p0ANGOL
7382,ANGOL,1110,SEDE UFRO ANGOL,SEDE UFRO ANGOL0p0ANGOL
7514,ANTARTICA,1557,ESCUELA BASICA VILLA LAS ESTRELLAS,ESCUELA BASICA VILLA LAS ESTRELLAS0p0ANTARTICA
7670,ANTIHUALA,1085,ESCUELA ORLANDO DELGADO ZUNIGA,ESCUELA ORLANDO DELGADO ZUNIGA0p0ANTIHUALA
7583,ANTILHUE,2654,ESCUELA RURAL ANTILHUE,ESCUELA RURAL ANTILHUE0p0ANTILHUE
7023,ANTOFAGASTA NORTE,84,COLEGIO ANTOFAGASTA,COLEGIO ANTOFAGASTA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,85,COLEGIO SAN AGUSTIN,COLEGIO SAN AGUSTIN0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,86,COLEGIO TECNICO INDUSTRIAL DON BOSCO,COLEGIO TECNICO INDUSTRIAL DON BOSCO0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,87,ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN,ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,88,ESCUELA ECOLOGICA PADRE ALBERTO HURTADO,ESCUELA ECOLOGICA PADRE ALBERTO HURTADO0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,89,ESCUELA ESPAÑA,ESCUELA ESPAÑA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,90,ESCUELA GENERAL MANUEL BAQUEDANO,ESCUELA GENERAL MANUEL BAQUEDANO0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,91,ESCUELA GUSTAVO LE PAIGE WALQUE,ESCUELA GUSTAVO LE PAIGE WALQUE0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,92,ESCUELA HEROES DE LA CONCEPCION,ESCUELA HEROES DE LA CONCEPCION0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,93,ESCUELA JAPON,ESCUELA JAPON0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,94,ESCUELA JOSE PAPIC RADNIC,ESCUELA JOSE PAPIC RADNIC0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,95,ESCUELA LA BANDERA,ESCUELA LA BANDERA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,97,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,96,ESCUELA LAS ROCAS,ESCUELA LAS ROCAS0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,98,ESCUELA REPUBLICA DE ITALIA,ESCUELA REPUBLICA DE ITALIA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,99,ESCUELA REVERENDO PADRE PATRICIO CARIOLA,ESCUELA REVERENDO PADRE PATRICIO CARIOLA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,100,LICEO CIENTIFICO HUMANISTA LA CHIMBA,LICEO CIENTIFICO HUMANISTA LA CHIMBA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,101,LICEO INDUSTRIAL EULOGIO GORDO MONEO,LICEO INDUSTRIAL EULOGIO GORDO MONEO0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,102,LICEO LA PORTADA,LICEO LA PORTADA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,103,LICEO MAYOR GENERAL (E) OSCAR BONILLA,LICEO MAYOR GENERAL (E) OSCAR BONILLA0p0ANTOFAGASTA NORTE
7023,ANTOFAGASTA NORTE,104,NETLAND SCHOOL,NETLAND SCHOOL0p0ANTOFAGASTA NORTE
7025,ANTOFAGASTA SUR,124,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR. ANTONIO RENDIC IVANOVIC,CENTRO DE EDUCACION INTEGRADA DE ADULTOS DR. ANTONIO RENDIC IVANOVIC0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,105,COLEGIO INGLES SAN JOSE,COLEGIO INGLES SAN JOSE0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,106,COLEGIO INSTITUTO SANTA MARIA,COLEGIO INSTITUTO SANTA MARIA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,107,COLEGIO SAN LUIS,COLEGIO SAN LUIS0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,108,ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES,ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,109,ESCUELA CLAUDIO MATTE PEREZ,ESCUELA CLAUDIO MATTE PEREZ0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,110,ESCUELA DARIO SALAS DIAZ,ESCUELA DARIO SALAS DIAZ0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,111,ESCUELA PROFESORA LJUBICA DOMIC WUTH,ESCUELA PROFESORA LJUBICA DOMIC WUTH0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,112,ESCUELA REPUBLICA DE ESTADOS UNIDOS DE NORTEAMERICA,ESCUELA REPUBLICA DE ESTADOS UNIDOS DE NORTEAMERICA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,113,ESCUELA REPUBLICA DEL ECUADOR,ESCUELA REPUBLICA DEL ECUADOR0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,114,HRVATSKA SKOLA SAN ESTEBAN,HRVATSKA SKOLA SAN ESTEBAN0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,115,INSTITUTO CIENTIFICO EDUCACIONAL JOSE MAZA SANCHO,INSTITUTO CIENTIFICO EDUCACIONAL JOSE MAZA SANCHO0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,116,INSTITUTO SUPERIOR DE COMERCIO JERARDO MUÑOZ CAMPOS,INSTITUTO SUPERIOR DE COMERCIO JERARDO MUÑOZ CAMPOS0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,125,LICEO ARTISTICO ARMANDO CARRERA GONZALEZ,LICEO ARTISTICO ARMANDO CARRERA GONZALEZ0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,117,LICEO BICENTENARIO ANDRES SABELLA,LICEO BICENTENARIO ANDRES SABELLA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,118,LICEO BICENTENARIO MARTA NAREA DIAZ,LICEO BICENTENARIO MARTA NAREA DIAZ0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,119,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA,LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,120,LICEO DOMINGO HERRERA RIVERA,LICEO DOMINGO HERRERA RIVERA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,121,LICEO EXPERIMENTAL ARTISTICO Y DE APLICACION,LICEO EXPERIMENTAL ARTISTICO Y DE APLICACION0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,122,LICEO TECNICO ANTOFAGASTA,LICEO TECNICO ANTOFAGASTA0p0ANTOFAGASTA SUR
7025,ANTOFAGASTA SUR,123,UNIVERSIDAD CATOLICA DEL NORTE,UNIVERSIDAD CATOLICA DEL NORTE0p0ANTOFAGASTA SUR
7360,ANTUCO,1008,LICEO  DOCTOR VICTOR RIOS RUIZ,LICEO  DOCTOR VICTOR RIOS RUIZ0p0ANTUCO
7761,APIAO,1473,ESCUELA RURAL OSTRICULTURA,ESCUELA RURAL OSTRICULTURA0p0APIAO
7202,APOQUINDO,2257,COLEGIO ACHIGA COMEDUC,COLEGIO ACHIGA COMEDUC0p0APOQUINDO
7202,APOQUINDO,2232,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 1,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2233,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 2,COLEGIO DEL SAGRADO CORAZON APOQUINDO LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2234,COLEGIO DIFERENCIAL PAUL HARRIS,COLEGIO DIFERENCIAL PAUL HARRIS0p0APOQUINDO
7202,APOQUINDO,2235,COLEGIO INSTITUCION TERESIANA LOCAL: 1,COLEGIO INSTITUCION TERESIANA LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2236,COLEGIO INSTITUCION TERESIANA LOCAL: 2,COLEGIO INSTITUCION TERESIANA LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2237,COLEGIO LEONARDO DA VINCI DE LAS CONDES,COLEGIO LEONARDO DA VINCI DE LAS CONDES0p0APOQUINDO
7202,APOQUINDO,2253,COLEGIO MUNICIPAL DE LAS CONDES,COLEGIO MUNICIPAL DE LAS CONDES0p0APOQUINDO
7202,APOQUINDO,2238,COLEGIO NUESTRA SEÑORA DEL ROSARIO LAS CONDES,COLEGIO NUESTRA SEÑORA DEL ROSARIO LAS CONDES0p0APOQUINDO
7202,APOQUINDO,2256,COLEGIO REDLAND SCHOOL ,COLEGIO REDLAND SCHOOL 0p0APOQUINDO
7202,APOQUINDO,2239,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 1,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2240,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 2,COLEGIO SAN FRANCISCO DEL ALBA LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2241,COLEGIO SAN FRANCISCO LOS DOMINICOS,COLEGIO SAN FRANCISCO LOS DOMINICOS0p0APOQUINDO
7202,APOQUINDO,2254,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 1,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2255,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 2,COLEGIO SEMINARIO PONTIFICIO MENOR LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2242,ESTADIO MUNICIPAL PAUL HARRIS ,ESTADIO MUNICIPAL PAUL HARRIS 0p0APOQUINDO
7202,APOQUINDO,2243,LICEO ALEXANDER FLEMING DE LAS CONDES LOCAL: 1,LICEO ALEXANDER FLEMING DE LAS CONDES LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2244,LICEO ALEXANDER FLEMING DE LAS CONDES LOCAL: 2,LICEO ALEXANDER FLEMING DE LAS CONDES LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2249,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES LOCAL: 1,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2250,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES LOCAL: 2,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2251,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 1,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2252,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 2,LICEO BICENTENARIO SIMON BOLIVAR LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2245,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 1,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2246,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 2,LICEO JUAN PABLO II DE LAS CONDES LOCAL: 20p0APOQUINDO
7202,APOQUINDO,2247,LICEO RAFAEL SOTOMAYOR LOCAL: 1,LICEO RAFAEL SOTOMAYOR LOCAL: 10p0APOQUINDO
7202,APOQUINDO,2248,LICEO RAFAEL SOTOMAYOR LOCAL: 2,LICEO RAFAEL SOTOMAYOR LOCAL: 20p0APOQUINDO
7376,ARAUCO,1039,COLEGIO EL BOSQUE,COLEGIO EL BOSQUE0p0ARAUCO
7376,ARAUCO,1040,ESCUELA BASICA MARE NOSTRUM,ESCUELA BASICA MARE NOSTRUM0p0ARAUCO
7376,ARAUCO,1041,ESCUELA BASICA VICENTE MILLAN IRIARTE,ESCUELA BASICA VICENTE MILLAN IRIARTE0p0ARAUCO
7376,ARAUCO,1042,ESCUELA EDELMIRA VERGARA QUIÑONES,ESCUELA EDELMIRA VERGARA QUIÑONES0p0ARAUCO
7376,ARAUCO,1043,LICEO BICENTENARIO SAN FELIPE DE ARAUCO,LICEO BICENTENARIO SAN FELIPE DE ARAUCO0p0ARAUCO
7376,ARAUCO,1044,LICEO SAN FRANCISCO DE ASIS,LICEO SAN FRANCISCO DE ASIS0p0ARAUCO
7001,ARICA,2674,COLEGIO DEL ALBA,COLEGIO DEL ALBA0p0ARICA
7001,ARICA,2675,COLEGIO INTEGRADO EDUARDO FREI MONTALVA,COLEGIO INTEGRADO EDUARDO FREI MONTALVA0p0ARICA
7001,ARICA,2676,COLEGIO JUAN PABLO SEGUNDO,COLEGIO JUAN PABLO SEGUNDO0p0ARICA
7001,ARICA,2677,COLEGIO MIRAMAR,COLEGIO MIRAMAR0p0ARICA
7001,ARICA,2678,COLEGIO SAUCACHE,COLEGIO SAUCACHE0p0ARICA
7001,ARICA,2679,COMPLEJO DEPORTIVO SAUCACHE UNIVERSIDAD DE TARAPACA SEDE 1,COMPLEJO DEPORTIVO SAUCACHE UNIVERSIDAD DE TARAPACA SEDE 10p0ARICA
7001,ARICA,2695,COMPLEJO DEPORTIVO SAUCACHE UNIVERSIDAD DE TARAPACA SEDE 2,COMPLEJO DEPORTIVO SAUCACHE UNIVERSIDAD DE TARAPACA SEDE 20p0ARICA
7001,ARICA,2680,ESCUELA D-10 GENERAL JOSE MIGUEL CARRERA,ESCUELA D-10 GENERAL JOSE MIGUEL CARRERA0p0ARICA
7001,ARICA,2682,ESCUELA D-4 REPUBLICA DE ISRAEL,ESCUELA D-4 REPUBLICA DE ISRAEL0p0ARICA
7001,ARICA,2683,ESCUELA D-6 REPUBLICA DE FRANCIA,ESCUELA D-6 REPUBLICA DE FRANCIA0p0ARICA
7001,ARICA,2684,ESCUELA D-7 GENERAL PEDRO LAGOS MARCHANT,ESCUELA D-7 GENERAL PEDRO LAGOS MARCHANT0p0ARICA
7001,ARICA,2685,ESCUELA E-1 REPUBLICA DE ARGENTINA,ESCUELA E-1 REPUBLICA DE ARGENTINA0p0ARICA
7001,ARICA,2686,ESCUELA E-15 RICARDO SILVA ARRIAGADA,ESCUELA E-15 RICARDO SILVA ARRIAGADA0p0ARICA
7001,ARICA,2687,ESCUELA E-5 ESMERALDA,ESCUELA E-5 ESMERALDA0p0ARICA
7001,ARICA,2688,ESCUELA IGNACIO CARRERA PINTO,ESCUELA IGNACIO CARRERA PINTO0p0ARICA
7001,ARICA,2689,FORD COLLEGE,FORD COLLEGE0p0ARICA
7001,ARICA,2690,GIMNASIO AUGUSTO ZUBIRI (EX EPICENTRO I),GIMNASIO AUGUSTO ZUBIRI (EX EPICENTRO I)0p0ARICA
7001,ARICA,2691,GIMNASIO MUNICIPAL FORTIN SOTOMAYOR,GIMNASIO MUNICIPAL FORTIN SOTOMAYOR0p0ARICA
7001,ARICA,2692,LICEO A-1 OCTAVIO PALMA PEREZ,LICEO A-1 OCTAVIO PALMA PEREZ0p0ARICA
7001,ARICA,2693,LICEO A-2 POLITECNICO ARICA,LICEO A-2 POLITECNICO ARICA0p0ARICA
7001,ARICA,2694,NORTH AMERICAN COLLEGE SEDE 21 DE MAYO,NORTH AMERICAN COLLEGE SEDE 21 DE MAYO0p0ARICA
7001,ARICA,2696,NORTH AMERICAN COLLEGE SEDE SOTOMAYOR,NORTH AMERICAN COLLEGE SEDE SOTOMAYOR0p0ARICA
7660,ARICA NORTE,2704,CARDENAL RAUL SILVA HENRIQUEZ,CARDENAL RAUL SILVA HENRIQUEZ0p0ARICA NORTE
7660,ARICA NORTE,2705,COLEGIO  CHILE NORTE,COLEGIO  CHILE NORTE0p0ARICA NORTE
7660,ARICA NORTE,2706,COLEGIO D-91 CENTENARIO,COLEGIO D-91 CENTENARIO0p0ARICA NORTE
7660,ARICA NORTE,2714,COLEGIO LEONARDO DA VINCI,COLEGIO LEONARDO DA VINCI0p0ARICA NORTE
